Label,AnnRet,AnnVol,Sharpe,Sortino,MaxDD,TotalRet,Primary,Pair,Method,Window
VHT-VDE,0.012500869379744279,0.09306535656103933,-0.402933293396463,0.22199604715653373,-0.15899429160969636,0.01653331256494961,VHT,VDE,ewma,10
VHT-VDE,0.008539565695243277,0.1009058748642365,-0.4108822638973152,0.13235614309428884,-0.14021737226310949,0.006937837129590729,VHT,VDE,standard,15
VIS-VPU,0.016905563781579636,0.07944659073390622,-0.416562069091988,0.3380725207429824,-0.14597581875274046,0.027945077630299853,VIS,VPU,ewma,10
VDE-VNQ,0.010620313027208608,0.09304983088099367,-0.42321073128178077,0.18023809464824544,-0.224343978829464,0.012699753872659869,VDE,VNQ,ewma,20
VGT-VPU,-0.0014676930081511878,0.11944950930273143,-0.430874043004329,-0.020601916066455887,-0.13381069395164524,-0.017035407804444902,VGT,VPU,adaptive,10
VDE-VGT,0.00031957774822368953,0.11465863165086748,-0.4332898582206335,0.00456333650514157,-0.16998862278610893,-0.012428036776638396,VDE,VGT,ewma,10
VHT-VPU,0.018152606595527244,0.07348451503874515,-0.4333891757696298,0.4024875690443923,-0.1090563076610731,0.031460486524528486,VHT,VPU,adaptive,20
VHT-VIS,0.02071396529167092,0.0673372303329552,-0.4349159382338939,0.513173328228902,-0.08747227587610906,0.03766744156770718,VHT,VIS,standard,10
VHT-VDC,0.024152467512815405,0.05930661897318212,-0.43582879844950484,0.7255920515866697,-0.05663252404098107,0.045908310199061386,VHT,VDC,standard,15
VIS-VDC,0.01387026371206627,0.08236382129896849,-0.4386602724124235,0.30252809008666026,-0.1378639379889427,0.021248327186697447,VIS,VDC,standard,5
VHT-VDE,0.005290860146263085,0.10161984297394253,-0.43996466187416966,0.08057300190984082,-0.1626559147299006,0.0002544402896007547,VHT,VDE,adaptive,15
VHT-VDE,0.004382072794359291,0.10229974948437644,-0.4459241340821423,0.06643167995491689,-0.22470042607909047,-0.0017031045268967038,VHT,VDE,adaptive,10
VDC-VGT,-0.0029900336163178757,0.11819801113639099,-0.4483157805013451,-0.04221700671839208,-0.21425005131848496,-0.01974825116359824,VDC,VGT,adaptive,15
VCR-VGT,0.016494750159241015,0.07413026039705789,-0.45197804056396806,0.3466274851816219,-0.08974991435729596,0.027932920947087547,VCR,VGT,ewma,15
VGT-VFH,0.0069951117526018914,0.09363156756048162,-0.4592990309557609,0.12317694791848283,-0.13472885321199102,0.0052630897681071875,VGT,VFH,adaptive,10
VOX-VGT,0.013541451431894953,0.07877535655256283,-0.46281667470179005,0.2694338183860624,-0.10497065066050248,0.0211405126431341,VOX,VGT,standard,20
VPU-VGT,-0.006788654223142209,0.12265428150823163,-0.46299773252783577,-0.09642798141692975,-0.14162856758407683,-0.028198094125465478,VPU,VGT,standard,15
VHT-VGT,-0.0012140602822185102,0.10913309410849147,-0.4692807502672426,-0.017327447804229165,-0.22587204732143418,-0.014251381312695433,VHT,VGT,standard,15
VCR-VDE,0.0026340355364310683,0.10083457419461309,-0.4697393214766938,0.04422891822266844,-0.14101350114646405,-0.004868206170993927,VCR,VDE,ewma,15
VCR-VOX,0.021405367551635017,0.0602619264256716,-0.47450578075419164,0.6021371322510597,-0.05453816450227056,0.04004501447706432,VCR,VOX,adaptive,15
VDE-VIS,0.010404333114362629,0.08327003975189945,-0.4755091627626385,0.20445767617271154,-0.14278957929456115,0.014013304520389847,VDE,VIS,ewma,15
VHT-VOX,0.012806968843729642,0.07804370072525244,-0.4765667287768149,0.2669964537807744,-0.10417485622118339,0.019766664342350193,VHT,VOX,standard,15
VAW-VDE,0.00724228685383597,0.0889310400405594,-0.48079627907942096,0.13090327073646355,-0.16747267188508308,0.006623215919029812,VAW,VDE,adaptive,15
VIS-VHT,0.016466225767610622,0.06973423571134234,-0.4808796409728921,0.42951901388702246,-0.08526370296572905,0.0285442031086518,VIS,VHT,adaptive,5
VDE-VOX,0.001223714776395005,0.1005204648641274,-0.4852373622578786,0.01960122604899272,-0.16700483433483737,-0.007628656591822769,VDE,VOX,ewma,5
VHT-VPU,0.013571950143827135,0.07441733206012577,-0.4895102907846875,0.29722246446245215,-0.08166495910437421,0.0218936429187504,VHT,VPU,adaptive,10
VDE-VGT,-0.006167074318654684,0.11401315379903895,-0.49263679187101006,-0.08667559068139886,-0.18788452404910527,-0.025047218372637126,VDE,VGT,ewma,20
VHT-VDC,0.020061179279054268,0.06046092196903698,-0.49517638411597287,0.567375938817778,-0.09980792207719935,0.03722303269748828,VHT,VDC,adaptive,20
VFH-VPU,0.006691823169525443,0.08736817257338647,-0.49569740964991615,0.12568970906573687,-0.09894737041585344,0.005805338614744304,VFH,VPU,standard,15
